Date,Worker_Id,Shift_Id,Shift_Type,Start_Time,End_Time
Jan 1,14190,15:00-22:30,Night ,15:00,22:30
Jan 1,14254,Day off,Day Off,,
Jan 1,14017,9:30-16:30,Middle,09:30,16:30
Jan 1,14321,Day off,Day Off,,
Jan 1,14099,OFF,Military,,
Jan 1,13595,Vacation,Vacation ,,
Jan 1,12605,Vacation,Vacation ,,
Jan 1,14027,7:00-15:00,Morning,07:00,15:00
Jan 1,14293,Day off,Day Off,,
Jan 1,14291,16:30-22:30,Night ,16:30,22:30
Jan 2,12627,Day off,Day Off,,
Jan 2,14190,14:30-22:30,Night ,14:30,22:30
Jan 2,14254,Day off,Day Off,,
Jan 2,14017,6:30-14:30,Morning,06:30,14:30
Jan 2,14321,Day off,Day Off,,
Jan 2,14099,OFF,Military,,
Jan 2,13595,Day off,Day Off,,
Jan 2,12605,Vacation,Vacation ,,
Jan 2,14027,6:30-14:30,Morning,06:30,14:30
Jan 2,14293,14:30-22:30,Night ,14:30,22:30
Jan 2,14291,Vacation,Vacation ,,
Jan 3,12627,Day off,Day Off,,
Jan 3,14190,15:00-22:30,Night ,15:00,22:30
Jan 3,14254,Vacation,Vacation ,,
Jan 3,14017,Day off,Day Off,,
Jan 3,14321,15:00-22:30,Night ,15:00,22:30
Jan 3,14099,Day off,Day Off,,
Jan 3,13595,7:00-15:00,Morning,07:00,15:00
Jan 3,12605,Vacation,Vacation ,,
Jan 3,14027,7:00-15:00,Morning,07:00,15:00
Jan 3,14293,10:00-18:00,Middle,10:00,18:00
Jan 3,14291,Vacation,Vacation ,,
Jan 10,12627,Day off,Day Off,,
Jan 4,14190,10:00-18:00,Middle,10:00,18:00
Jan 4,14254,Vacation,Vacation ,,
Jan 4,14017,Day off,Day Off,,
Jan 4,14321,15:00-22:30,Night ,15:00,22:30
Jan 4,14099,Day off,Day Off,,
Jan 4,13595,15:00-22:30,Night ,15:00,22:30
Jan 4,12605,Vacation,Vacation ,,
Jan 4,14027,7:00-15:00,Morning,07:00,15:00
Jan 4,14293,Day off,Day Off,,
Jan 4,14291,Day off,Day Off,,
Jan 11,12627,Day off,Day Off,,
Jan 5,14190,15:30-22:30,Night ,15:30,22:30
Jan 5,14254,Day off,Day Off,,
Jan 5,14017,9:30-15:30,Middle,09:30,15:30
Jan 5,14321,10:30-17:30,Middle,10:30,17:30
Jan 5,14099,OFF,Middle,,
Jan 5,13595,Day off,Day Off,,
Jan 5,12605,Vacation,Vacation ,,
Jan 5,14027,16:30-22:30,Night ,16:30,22:30
Jan 5,14293,6:30-10:30,Morning,06:30,10:30
Jan 5,14291,Day off,Day Off,,
Jan 12,12627,Day off,Day Off,,
Jan 6,14190,14:30-22:30,Night ,14:30,22:30
Jan 6,14254,Day off,Day Off,,
Jan 6,14017,6:30-12:30,Morning,06:30,12:30
Jan 6,14321,12:30-18:30,Middle,12:30,18:30
Jan 6,14099,OFF,Military,,
Jan 6,13595,Day off,Day Off,,
Jan 6,12605,Vacation,Vacation ,,
Jan 6,14027,16:30-22:30,Night ,16:30,22:30
Jan 6,14293,9:30-13:30,Middle,09:30,13:30
Jan 6,14291,Day off,Day Off,,
Jan 13,12627,Day off,Day Off,,
Jan 7,14190,Day off,Day Off,,
Jan 7,14254,6:30-14:30,Morning,06:30,14:30
Jan 7,14017,14:30-22:30,Night ,14:30,22:30
Jan 7,14321,14:30-19:30,Middle,14:30,19:30
Jan 7,14099,OFF,Military,,
Jan 7,13595,6:30-12:30,Morning,06:30,12:30
Jan 7,12605,Vacation,Vacation ,,
Jan 7,14027,Day off,Day Off,,
Jan 7,14293,9:30-14:00,Middle,09:30,14:00
Jan 7,14291,17:30-22:30,Night ,17:30,22:30
Jan 22,12627,Day off,Day Off,,
Jan 8,14190,15:30-22:30,Night ,15:30,22:30
Jan 8,14254,6:30-14:30,Morning,06:30,14:30
Jan 8,14017,9:30-17:30,Middle,09:30,17:30
Jan 8,14321,Exam,Exam,Exam,
Jan 8,14099,OFF,Military,,
Jan 8,13595,14:30-22:30,Night ,14:30,22:30
Jan 8,12605,Day off,Day Off,,
Jan 8,14027,Day off,Day Off,,
Jan 8,14293,17:30-22:30,Night ,17:30,22:30
Jan 8,14291,14:30-20:30,Middle,14:30,20:30
Jan 23,12627,Day off,Day Off,,
Jan 9,14190,14:30-22:30,Night ,14:30,22:30
Jan 9,14254,9:30-14:30,Middle,09:30,14:30
Jan 9,14017,Vacation,Vacation ,,
Jan 9,14321,Day off,Day Off,,
Jan 9,14099,OFF,Military,,
Jan 9,13595,15:30-22:30,Night ,15:30,22:30
Jan 9,12605,Day off,Day Off,,
Jan 9,14027,6:30-14:30,Morning,06:30,14:30
